INDEX 
NIFTY 50
NIFTY NEXT 50
NIFTY 100
NIFTY 200
NIFTY 500
NIFTY MIDCAP 50
NIFTY MIDCAP 100
NIFTY SMALLCAP 100
INDIA VIX
NIFTY MIDCAP 150
NIFTY SMALLCAP 50
NIFTY SMALLCAP 250
NIFTY MIDSMALLCAP 400
NIFTY500 MULTICAP 50:25:25
NIFTY LARGEMIDCAP 250
NIFTY BANK
NIFTY AUTO
NIFTY FINANCIAL SERVICES
NIFTY FINANCIAL SERVICES 25/50
NIFTY FMCG
NIFTY IT
NIFTY MEDIA
NIFTY METAL
NIFTY PHARMA
NIFTY PSU BANK
NIFTY PRIVATE BANK
NIFTY REALTY
NIFTY HEALTHCARE INDEX
NIFTY CONSUMER DURABLES
NIFTY OIL & GAS
NIFTY DIVIDEND OPPORTUNITIES 50
NIFTY GROWTH SECTORS 15
NIFTY100 QUALITY 30
NIFTY50 VALUE 20
NIFTY50 TR 2X LEVERAGE
NIFTY50 PR 2X LEVERAGE
NIFTY50 TR 1X INVERSE
NIFTY50 PR 1X INVERSE
NIFTY50 DIVIDEND POINTS
NIFTY ALPHA 50
NIFTY50 EQUAL WEIGHT
NIFTY100 EQUAL WEIGHT
NIFTY100 LOW VOLATILITY 30
NIFTY200 QUALITY 30
NIFTY ALPHA LOW-VOLATILITY 30
NIFTY200 MOMENTUM 30
NIFTY COMMODITIES
NIFTY INDIA CONSUMPTION
NIFTY CPSE
NIFTY ENERGY
NIFTY INFRASTRUCTURE
NIFTY100 LIQUID 15
NIFTY MIDCAP LIQUID 15
NIFTY MNC
NIFTY PSE
NIFTY SERVICES SECTOR
NIFTY100 ESG SECTOR LEADERS
NIFTY 8-13 YR G-SEC
NIFTY 10 YR BENCHMARK G-SEC
NIFTY 10 YR BENCHMARK G-SEC (CLEAN PRICE)
NIFTY 4-8 YR G-SEC INDEX
NIFTY 11-15 YR G-SEC INDEX
NIFTY 15 YR AND ABOVE G-SEC INDEX
NIFTY COMPOSITE G-SEC INDEX
